,discriminative_pattern_len,discriminative_pattern_position,stis_series_len,entities_num,symbols_num,level,kernel_sizes,global_pool,depth,epoch,train_loss,val_loss
143,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,44,0.005,0.1285
144,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,45,0.0052,0.1285
145,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,46,0.0059,0.174
146,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,47,0.0121,0.2723
147,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,48,0.0044,0.6539
148,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,49,0.0037,0.2681
149,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,50,0.0031,0.2598
150,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,51,0.0022,0.0885
151,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,52,0.0019,0.1114
152,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,53,0.0015,0.08900000000000001
153,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,54,0.0029,0.1048
154,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,55,0.0016,0.2453
155,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,56,0.0018,0.0966
156,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,57,0.0027,0.2041
157,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,58,0.0021,0.1303
158,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,59,0.0025,0.1159
159,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,60,0.0012,0.095
160,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,61,0.0013,0.1202
161,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,62,0.0015,0.0896
162,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,63,0.0015,0.0991
163,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,64,0.0014,0.1196
164,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,65,0.0016,0.2685
165,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,66,0.0027,0.1155
166,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,67,0.0012,0.1585
167,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,68,0.0017,0.2688
168,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,69,0.00099167,0.11699999999999999
169,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,70,0.0013,0.1171
170,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,71,0.0012,0.0869
171,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,72,0.0051,0.6138
172,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,73,0.0393,2.5165
173,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,74,0.0368,3.5387
174,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,75,0.0129,4.0927
175,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,76,0.0033,0.2647
176,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,77,0.003,0.1281
177,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,78,0.0037,0.0906
178,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,79,0.0019,0.3759
179,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,80,0.0012,0.1582
180,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,81,0.0031,1.1518
181,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,82,0.0019,0.1234
182,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,83,0.0011,0.0918
183,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,84,0.0013,0.1208
184,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,85,0.0013,0.0813
185,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,86,0.00074885,0.1251
186,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,87,0.001,0.0822
187,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,88,0.00077379,0.0807
188,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,89,0.00085196,0.0982
189,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,90,0.00064813,0.0865
190,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,91,0.00057362,0.0773
191,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,92,0.00097311,0.1064
192,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,93,0.00057198,0.0761
193,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,94,0.00066187,0.0771
194,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,95,0.00050473,0.0928
195,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,96,0.00047066,0.0801
196,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,97,0.00049228,0.0731
197,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,98,0.00056485,0.0757
198,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,99,0.00041619,0.0771
199,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,100,0.00055153,0.0804
